miR	Counts
hsa-miR-125b	771793
hsa-miR-21	1008124
hsa-miR-10a	43150
hsa-miR-99b	4628
hsa-miR-125a-5p	160593
hsa-let-7e	18328
hsa-miR-23b	11974
hsa-miR-145	799841
hsa-miR-100	58356
hsa-miR-25	3929
hsa-miR-31	161180
hsa-let-7i	26155
hsa-miR-452	1457
hsa-miR-92a	23278
hsa-miR-19b	27062
hsa-miR-29a	94551
hsa-miR-26a	28120
hsa-let-7b	59060
hsa-miR-130a	41547
hsa-miR-222	43426
*	4288478
hsa-miR-140-3p	82818
hsa-miR-15b	15396
hsa-miR-15a	3272
hsa-miR-345	1784
hsa-let-7g	22804
hsa-miR-551b	2693
hsa-miR-99a	20435
hsa-miR-23c	3554
hsa-miR-24	324769
hsa-miR-574-5p	8574
hsa-miR-34a	29242
hsa-miR-199a-5p	76704
hsa-miR-221	53826
hsa-miR-29b	42226
hsa-miR-152	6609
hsa-miR-4286	38417
hsa-miR-3182	25204
hsa-miR-191	28215
hsa-miR-218	10382
hsa-miR-424	18702
hsa-miR-574-3p	49598
hsa-let-7d	10055
hsa-miR-214	30617
hsa-miR-181a	12877
hsa-miR-151-5p	9924
hsa-miR-421	1228
hsa-miR-210	16284
hsa-miR-19a	4012
hsa-miR-143	26868
hsa-miR-374b	1517
hsa-miR-193b	16460
hsa-miR-98	1344
hsa-miR-26b	3249
hsa-miR-138	10200
hsa-miR-301a	5715
hsa-miR-30e	2001
hsa-miR-331-3p	4516
hsa-let-7f	29290
hsa-miR-590-5p	2621
hsa-miR-148a	14172
hsa-miR-671-5p	1005
hsa-miR-484	13168
hsa-miR-4295	876
hsa-miR-17	3039
hsa-miR-532-5p	2772
hsa-miR-10b	9012
hsa-miR-423-3p	3463
hsa-miR-374a	564
hsa-miR-127-3p	1490
hsa-miR-365	4778
hsa-miR-195	2182
hsa-miR-425	1667
hsa-miR-130b	7008
hsa-miR-30a	7667
hsa-miR-454	719
hsa-miR-376b	2495
hsa-miR-148b	1129
hsa-miR-224	3695
hsa-miR-370	1357
hsa-miR-483-3p	4676
hsa-miR-193a-5p	4783
hsa-miR-23a	6313
hsa-miR-16	13517
hsa-miR-299-5p	907
hsa-miR-22	10430
hsa-miR-342-3p	10104
hsa-miR-328	1792
hsa-miR-186	825
hsa-miR-196a	1714
hsa-miR-185	2627
hsa-miR-34c-5p	1028
hsa-miR-140-5p	4440
hsa-miR-1260b	3544
hsa-miR-654-3p	1634
hsa-miR-129-3p	815
hsa-miR-485-3p	720
hsa-miR-136	1383
hsa-miR-4315	6798
hsa-miR-379	1718
hsa-miR-615-3p	1615
hsa-miR-197	4813
hsa-miR-505	1083
hsa-miR-376c	4569
hsa-miR-600	5028
hsa-miR-190	615
hsa-miR-4284	896
hsa-miR-193a-3p	1890
hsa-miR-28-3p	3246
hsa-miR-361-3p	1138
hsa-miR-455-3p	4481
hsa-miR-339-5p	8630
hsa-let-7a	1107
hsa-miR-149	1786
hsa-miR-30d	2457
hsa-miR-126	504
hsa-miR-199b-5p	1269
hsa-miR-29c	5010
hsa-miR-93	1001
hsa-miR-361-5p	1920
hsa-miR-720	2718
hsa-miR-744	1593
hsa-miR-92b	2938
hsa-miR-106b	926
hsa-miR-1280	5370
hsa-miR-423-5p	794
hsa-miR-874	1321
hsa-miR-151-3p	1137
hsa-miR-337-3p	2624
hsa-miR-1296	517
hsa-miR-664	614
hsa-miR-660	836
hsa-miR-1274a	1681
hsa-miR-940	1372
hsa-miR-326	620
hsa-miR-181b	2254
hsa-miR-487b	1446
hsa-miR-887	571
hsa-miR-4301	5753
hsa-miR-497	1237
hsa-miR-192	783
hsa-miR-362-5p	672
hsa-miR-127-5p	663
hsa-miR-1274b	662
hsa-miR-128	1140
hsa-miR-27a	868
hsa-miR-324-5p	826
hsa-miR-134	712
hsa-miR-204	601
hsa-miR-329	552
hsa-miR-762	1943
hsa-miR-205	615
hsa-miR-188-5p	532
hsa-miR-3912	552
